id_pedido;quantidade;id_produto
1;2;4
2;1;5
3;3;1
4;3;6
5;3;1
6;1;1
7;1;6
8;3;7
9;2;3
10;2;5
11;3;7
12;2;3
13;1;2
14;3;5
15;1;2
16;3;4
17;2;5
18;1;6
19;2;2
20;2;2
21;1;1
22;3;5
23;3;1
24;2;6
25;3;4
26;3;3
27;1;2
28;2;1
29;2;3
30;2;4
31;1;6
32;3;4
33;3;7
34;3;4
35;2;6
36;1;6
37;1;2
38;1;3
39;3;5
40;2;7
41;2;4
42;2;3
43;2;4
44;1;7
45;3;1
46;3;2
47;3;7
48;1;2
49;1;2
50;3;4
51;3;5
52;3;2
53;1;6
54;2;1
55;2;4
56;1;3
57;1;1
58;2;7
59;1;3
60;3;1
61;3;1
62;2;1
63;3;5
64;1;7
65;1;2
66;1;3
67;1;3
68;3;1
69;2;6
70;3;5
71;1;5
72;1;5
73;1;7
74;1;5
35;1;3
70;3;7
44;2;4
47;3;3
11;1;5
13;1;3
34;1;4
41;3;2
16;3;7
70;2;3
11;2;3
28;2;6
2;3;1
66;3;5
66;3;4
34;2;2
8;2;2
53;2;5
38;3;5
2;3;6
71;1;2
4;2;6
11;2;3
18;1;3
66;2;1
36;2;4
1;3;5
72;3;3
5;3;6
11;2;2
20;1;3
70;3;2
1;2;4
22;3;5
59;3;2
13;2;3
19;1;3
15;2;4
43;2;2
17;2;7
32;3;5
36;2;1
15;2;7
31;2;2
38;3;6
20;3;4
28;1;2
55;1;6
5;2;5
60;2;7
58;1;4
18;3;3
73;2;3
52;1;4
58;3;6
28;1;6
59;1;2
23;3;1
71;1;5
32;2;7
55;2;4
19;2;3
4;1;1
46;2;1
63;2;1
32;1;7
18;1;7
4;2;1
58;2;3
70;3;6
71;1;5
55;2;4
29;3;4
42;3;2
14;2;2
16;2;3
45;1;7
52;1;7
12;3;2
40;3;5
68;1;2
57;2;4
58;3;1
73;3;6
39;1;5
11;1;7
71;1;5
36;3;6
37;2;5
36;2;3
36;1;5
28;1;5
16;1;4
41;3;7
34;1;5
20;1;3
12;3;6
56;1;5
42;2;3
59;3;5
43;1;5
68;3;7
18;1;4
18;3;1
2;1;7
66;2;3
66;1;3
20;3;2
5;3;7
39;2;4
71;2;2
3;1;6
29;2;4
73;2;3
66;1;3
73;2;4
73;2;1
45;1;2
29;3;2
72;3;7
10;2;6
36;1;1
62;1;7
72;2;1
67;2;7
11;1;1
59;1;3
71;3;6
39;2;1
25;3;6
70;3;5
4;1;1
49;3;7
56;1;2
28;3;6
62;1;3
56;2;4
17;1;1
27;3;6
5;1;5
42;3;2
26;3;3
44;3;5
21;3;1
56;1;7
8;2;1
28;2;6
48;1;7
34;1;5
37;1;1
53;1;3
29;1;6
22;2;6
13;2;6
45;2;1
28;2;7
2;2;5
15;1;2
60;2;1
56;1;7
70;2;3
9;1;1
11;2;4
59;3;6
43;2;2
70;1;4
51;1;1
72;1;7
15;3;7
71;1;3
14;3;6
74;1;6
19;2;1
34;3;7
21;3;2
39;1;6
53;3;3
12;1;3
6;1;2
30;3;6
65;2;4
68;2;4
34;2;7
34;2;5
34;1;3
1;3;1
70;2;7
52;3;1
72;3;6
2;1;3
33;1;7
21;3;6
41;1;5
45;2;1
32;2;6
54;1;5
63;2;6
25;3;3
58;1;3
28;3;5
69;3;1
70;2;6
1;1;5
18;3;7
51;2;5
60;3;3
43;1;3
48;2;4
23;3;6
4;2;3
25;2;3
32;3;4
47;1;7
4;2;1
37;1;7
2;3;6
60;1;7
17;2;2
47;1;2
29;3;2
5;3;4
52;2;6
67;2;1
49;2;1
19;1;1
49;3;5
34;2;7
31;1;6
44;1;3
48;1;4
65;1;4
25;2;3
68;2;5
55;2;4
74;2;7
30;3;6
34;2;6
17;2;7
52;2;4
62;1;5
25;2;6
44;1;7
7;2;1
69;1;3
39;1;6
11;3;3
9;1;1
37;1;1
29;1;1
21;1;6
11;2;7
47;1;4
34;1;6
41;1;2
51;2;5
35;1;1
39;1;3
14;2;2
45;2;3
25;1;1
8;3;2
62;1;4
66;2;6
20;3;4
27;1;6
45;2;1
69;1;7
71;1;3
19;1;4
63;2;3
9;1;4
70;3;6
32;1;4
73;2;6
41;2;5
28;1;7
23;2;3
21;2;1
39;2;4
40;3;5
18;1;6
55;3;7
9;3;1
67;3;3
46;1;7
56;1;6
23;3;4
32;2;7
43;3;6
69;2;1
55;3;5
25;1;5
73;2;5
10;2;5
15;1;2
20;1;3
52;1;3
23;3;2
25;1;2
17;1;2
1;2;3
8;1;6
1;1;2
74;3;4
39;2;6
10;3;2
18;1;7
56;1;1
47;2;2
56;2;7
69;3;3
9;2;4
31;3;4
30;1;5
8;2;3
65;3;2
45;1;3
