id_pedido;id_cliente;id_intregador;data;hora_pedido;hora_entrega;hora_fim
1;1;2;09/10/2023;09:55:52;10:44:50;11:16:30
2;2;1;09/10/2023;10:18:54;10:46:16;11:17:57
3;3;2;09/10/2023;10:34:45;10:56:21;10:56:21
4;4;3;09/10/2023;10:40:30;11:23:42;11:51:04
5;5;1;09/10/2023;10:47:42;12:04:02;12:28:30
6;6;4;09/10/2023;10:50:35;12:06:54;12:24:11
7;7;3;09/10/2023;11:12:11;12:24:11;12:29:57
8;8;1;09/10/2023;11:46:45;12:55:52;13:34:45
9;9;1;09/10/2023;12:05:28;12:35:42;13:00:11
10;10;4;09/10/2023;12:06:54;12:51:33;13:18:54
11;11;1;09/10/2023;12:34:16;13:10:16;13:44:50
12;12;2;09/10/2023;12:47:14;13:21:47;13:53:28
13;13;4;09/10/2023;13:05:57;14:29:28;15:21:18
14;14;3;09/10/2023;13:43:23;14:36:40;15:02:35
15;15;1;09/10/2023;13:56:21;14:20:50;14:58:16
16;16;4;09/10/2023;14:06:26;15:24:11;15:34:16
17;17;1;09/10/2023;14:38:06;15:28:30;16:10:16
18;18;3;09/10/2023;14:58:16;15:35:42;16:13:09
19;19;3;09/10/2023;15:25:38;15:51:33;16:49:09
20;20;3;09/10/2023;16:04:30;17:03:33;17:07:52
21;21;2;09/10/2023;16:34:45;16:56:21;17:32:21
22;22;4;09/10/2023;17:02:06;17:46:45;18:12:40
23;23;3;09/10/2023;17:40:59;18:58:45;19:33:18
24;24;4;09/10/2023;17:42:26;18:11:14;19:07:23
25;25;4;09/10/2023;17:51:04;18:25:38;18:52:59
26;26;2;09/10/2023;18:24:11;19:01:38;19:27:33
27;27;3;09/10/2023;18:55:52;19:46:16;20:17:57
28;28;1;09/10/2023;19:03:04;20:26:35;20:35:14
29;29;3;09/10/2023;19:30:26;20:30:54;21:18:26
30;29;2;10/10/2023;09:55:52;10:57:47;11:55:23
31;18;2;10/10/2023;10:34:45;11:06:26;11:13:38
32;22;2;10/10/2023;10:49:09;11:42:26;12:32:50
33;11;3;10/10/2023;10:53:28;11:56:50;12:04:02
34;8;2;10/10/2023;10:59:14;12:19:52;13:13:09
35;7;1;10/10/2023;11:23:42;12:11:14;12:42:54
36;24;3;10/10/2023;12:04:02;12:31:23;12:54:26
37;11;2;10/10/2023;12:11:14;13:00:11;13:30:26
38;2;2;10/10/2023;12:42:54;13:17:28;13:20:21
39;28;4;10/10/2023;12:55:52;13:43:23;14:26:35
40;27;1;10/10/2023;13:21:47;14:30:54;14:35:14
41;24;2;10/10/2023;13:23:14;14:26:35;14:46:45
42;20;3;10/10/2023;13:46:16;14:04:59;14:28:02
43;19;1;10/10/2023;14:06:26;14:29:28;14:49:38
44;14;3;10/10/2023;14:16:30;14:52:30;15:28:30
45;18;1;10/10/2023;14:58:16;15:40:02;15:45:47
46;24;1;10/10/2023;15:38:35;16:10:16;16:27:33
47;24;3;10/10/2023;16:10:16;17:12:11;17:59:42
48;6;4;10/10/2023;16:40:30;17:48:11;18:35:42
49;3;1;10/10/2023;16:50:35;18:06:54;18:11:14
50;9;4;10/10/2023;17:09:18;18:29:57;18:45:47
51;17;3;10/10/2023;17:36:40;18:04:02;18:35:42
52;4;2;10/10/2023;17:59:42;19:16:02;19:40:30
53;21;1;10/10/2023;18:35:42;19:18:54;19:21:47
54;9;1;10/10/2023;18:52:59;19:46:16;20:19:23
55;10;4;10/10/2023;19:13:09;20:38:06;20:52:30
56;23;3;10/10/2023;19:52:02;20:20:50;21:06:54
57;29;4;10/10/2023;20:13:38;21:22:45;22:10:16
58;9;3;10/10/2023;20:17:57;21:02:35;21:14:06
59;27;4;11/10/2023;09:55:52;11:15:04;11:55:23
60;24;4;11/10/2023;10:04:30;10:21:47;10:44:50
61;4;1;11/10/2023;10:30:26;11:16:30;11:28:02
62;28;4;11/10/2023;10:49:09;12:05:28;12:22:45
63;25;4;11/10/2023;11:00:40;12:19:52;12:32:50
64;24;4;11/10/2023;11:28:02;12:21:18;13:11:42
65;27;4;11/10/2023;11:35:14;12:51:33;13:07:23
66;12;3;11/10/2023;11:59:42;13:13:09;13:44:50
67;4;1;11/10/2023;12:09:47;12:42:54;13:23:14
68;3;1;11/10/2023;12:19:52;13:05:57;14:00:40
69;28;1;11/10/2023;12:42:54;13:00:11;13:49:09
70;25;1;11/10/2023;12:44:21;13:01:38;13:05:57
71;24;3;11/10/2023;12:55:52;14:10:45;14:30:54
72;14;1;11/10/2023;13:36:11;15:01:09;15:57:18
73;14;1;11/10/2023;13:57:47;14:35:14;15:09:47
74;9;3;11/10/2023;14:02:06;14:17:57;14:20:50
